delivery_id,driver,route,start_time,end_time,distance_km,fuel_liters,delay_minutes,status
1,John Smith,A12,2024-05-01 08:10,2024-05-01 10:05,120,14,5,Delivered
2,Sarah Lee,B7,2024-05-01 09:00,2024-05-01 11:45,160,18,25,Delivered
3,Michael Brown,A12,2024-05-01 07:50,2024-05-01 09:20,110,12,0,Delivered
4,Emma Davis,C3,2024-05-01 10:15,2024-05-01 13:40,210,25,40,Delivered Late
5,John Smith,B7,2024-05-02 08:30,2024-05-02 11:10,165,19,15,Delivered
6,Sarah Lee,A12,2024-05-02 07:45,2024-05-02 09:30,115,13,0,Delivered
7,Michael Brown,C3,2024-05-02 09:20,2024-05-02 12:10,205,24,30,Delivered Late
8,Emma Davis,B7,2024-05-02 11:00,2024-05-02 13:20,150,17,10,Delivered
9,John Smith,A12,2024-05-03 07:40,2024-05-03 09:10,108,11,0,Delivered
10,Sarah Lee,C3,2024-05-03 09:10,2024-05-03 12:00,208,26,35,Delivered Late
